UniversityName,DegreeType,DualCombined,ValidatedDegreeName,Degree,Program,Concentration,Searchtag1,Searchtag2,Searchtag3,SOPHAS,Term,LinkToDepartment,LinkDescription,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,31,MCP/MPH,Health and Social Behavior,,18,7,10,Yes,5,http://chhd.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,31,MCP/MPH,Health Policy and Management,,27,17,10,Yes,5,http://hpm.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,31,MCP/MPH,Public Health Nutrition,,33,7,10,Yes,5,http://chhd.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,41,MPP/MPH,Environmental Health Sciences,,10,34,27,Yes,5,http://ehs.sph.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,41,MPP/MPH,Epidemiology/Biostatistics,,3,11,27,Yes,5,http://epi.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,41,MPP/MPH,Health and Social Behavior,,18,7,27,Yes,5,http://chhd.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,41,MPP/MPH,Health Policy and Management,,17,26,27,Yes,5,http://hpm.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,41,MPP/MPH,Maternal and Child Health,,28,37,27,Yes,5,http://chhd.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,41,MPP/MPH,Public Health Nutrition,,33,,27,Yes,5,http://chhd.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,41,MPP/MPH,Interdisciplinary,,26,35,27,Yes,5,http://sph.berkeley.edu/degrees/areas/interdisciplinary.html,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,45,MSW/MPH,Health and Social Behavior,,18,7,9,No,5,http://chhd.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,45,MSW/MPH,Maternal and Child Health,,28,37,26,No,5,http://chhd.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,45,MSW/MPH,Public Health Nutrition,,33,7,13,No,5,http://chhd.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,45,MSW/MPH,Epidemiology/Biostatistics,,3,11,,No,5,http://epi.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,45,MSW/MPH,Health Policy and Management,,27,17,26,No,5,http://hpm.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,45,MSW/MPH,Interdisciplinary,,26,35,,No,5,http://sph.berkeley.edu/degrees/areas/interdisciplinary.html,,,,,,,
University of California - Berkeley School of Public Health,Masters,,54,MS,Environmental Health Sciences,,10,34,7,Yes,5,http://ehs.sph.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,,54,MS,Environmental Health Sciences (HED),,10,34,7,Yes,5,http://ehs.sph.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,,54,MS,Epidemiology,,11,37,,Yes,5,http://epi.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Masters,yes,58,MS/PhD,Environmental Health Sciences,,10,34,7,Yes,5,http://ehs.sph.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Doctoral,,68,PhD,Biostatistics,,3,11,4,Yes,5,http://www.stat.berkeley.edu/biostat,,,,,,,
University of California - Berkeley School of Public Health,Doctoral,,68,PhD,Environmental Health Sciences,,10,34,7,Yes,5,http://ehs.sph.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Doctoral,,68,PhD,Epidemiology,,11,37,,Yes,5,http://epi.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Doctoral,,68,PhD,Health Services and Policy Analysis,,21,27,17,Yes,5,http://hspa.berkeley.edu,,,,,,,
University of California - Berkeley School of Public Health,Doctoral,,68,PhD,Infectious Diseases and Immunity,,23,2,22,Yes,5,http://socrates.berkeley.edu/~microbes,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,23,DDS/MPH,Biostatistics,,3,,,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,23,DDS/MPH,Community Health Sciences,,18,20,47,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,23,DDS/MPH,Epidemiology,,11,23,38,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,23,DDS/MPH,Health Policy and Administration,,16,27,21,Yes,5,http://www.uic.edu/sph/hpa.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,6,DrPH,School of Public Health DRPH,Leadership,26,27,,Yes,5,http://www.uic.edu/sph/downloads/drphhandbook.pdf,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,25,DVM/MPH,Epidemiology,,11,23,28,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,25,DVM/MPH,Epidemiology,,11,23,28,Yes,4,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,26,JD/MPH,Health Policy and Administration,,16,27,21,Yes,5,http://www.uic.edu/sph/hpa.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,30,MBA/MPH,Biostatistics,,3,,,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,30,MBA/MPH,Community Health Sciences,,18,20,28,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,30,MBA/MPH,Environmental and Occupational Health Science,,10,34,44,Yes,5,http://www.uic.edu/sph/eohs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,30,MBA/MPH,Epidemiology,,11,23,28,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,30,MBA/MPH,Health Policy and Administration,,16,27,,Yes,5,http://www.uic.edu/sph/hpa.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,32,MD/MPH,Biostatistics,,3,,,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,32,MD/MPH,Community Health Sciences,,18,20,47,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,32,MD/MPH,Epidemiology,,11,23,38,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,32,MD/MPH,Health Policy and Administration,,16,27,21,Yes,5,http://www.uic.edu/sph/hpa.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,yes,70,MD/PhD,Biostatistics,,3,,,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,yes,70,MD/PhD,Epidemiology,,11,23,28,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,11,MHA,Health Policy and Administration,Health Care Administration,16,27,,Yes,5,http://www.uic.edu/sph/hpa.htm,http://www.uic.edu/sph/mha/,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Biostatistics,Biostatistics,3,,,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Community Health Sciences,Behavioral Sciences and Health Promotion,18,20,7,Yes,5,http://www.uic.edu/sph/chs.htm,http://www.uic.edu/sph/chs.htm,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Community Health Sciences,Comprehensive or Professional Enhancement,18,20,7,Yes,5,http://www.uic.edu/sph/chs.htm,http://www.uic.edu/sph/chs.htm,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Community Health Sciences,Gerontology,1,7,,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Community Health Sciences,Maternal and Child Health,28,6,7,Yes,5,http://www.uic.edu/sph/chs.htm,http://www.uic.edu/sph/mch/,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Community Health Sciences,Professional Enhancement Program,7,14,,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Community Health Sciences,Professional Enhancement Program (Peoria Campus),7,14,,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Environmental and Occupational Health Science,Environmental and Occupational Health Science,10,34,44,Yes,5,http://www.uic.edu/sph/eohs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Environmental and Occupational Health Science,Industrial Hygiene,34,10,,Yes,5,http://www.uic.edu/sph/eohs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Environmental and Occupational Health Science,Occupational Medicine Residency,34,10,,Yes,5,http://www.uic.edu/sph/eohs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Epidemiology,Comprehensive or Professional Enhancement,11,23,28,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Epidemiology,Maternal & Child Health,28,7,11,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Epidemiology,Professional Enhancement Program,11,23,28,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Epidemiology,Professional Enhancement Program,11,23,28,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Health Policy and Administration,Comprehensive or Professional Enhancement,16,27,,Yes,5,http://www.uic.edu/sph/hpa.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Health Policy and Administration,Professional Enhancement Program (Rockford Campus),16,27,,Yes,5,http://www.uic.edu/sph/hpa.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Health Policy and Administration,Public Health Informatics (Online),24,,,Yes,5,http://www.uic.edu/sph/hpa.htm,http://www.uic.edu/sph/phi/,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Health Policy and Administration,Public Health Informatics (Online),24,,,Yes,3,http://www.uic.edu/sph/hpa.htm,http://www.uic.edu/sph/phi/,,,,,,
University of Illinois Chicago School of Public Health,Masters,,20,MPH,Health Policy and Administration,Public Health Informatics (Online),24,,,Yes,4,http://www.uic.edu/sph/hpa.htm,http://www.uic.edu/sph/phi/,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,44,MPH/MSN,Community Health Sciences,Survey Research Methodology,7,,,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,44,MPH/MSN,Community Health Sciences,Women's Health,7,,,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,yes,44,MPH/MSN,Health Policy and Administration,Health Policy and Administration,16,27,,Yes,5,http://www.uic.edu/sph/hpa.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Biostatistics,Biostatistics,3,,,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Community Health Sciences,Behavioral Sciences and Health Promotion,18,20,7,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Community Health Sciences,Generalist,14,7,,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Community Health Sciences,Gerontology,1,7,,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Community Health Sciences,Maternal and Child Health,28,7,11,Yes,5,http://www.uic.edu/sph/chs.htm,http://www.uic.edu/sph/mch/,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Community Health Sciences,Maternal and Child Health Epidemilology,28,11,7,Yes,5,http://www.uic.edu/sph/chs.htm,http://www.uic.edu/sph/mch/,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Environmental and Occupational Health Science,Environmental and Occupational Health Science,34,10,,Yes,5,http://www.uic.edu/sph/eohs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Environmental and Occupational Health Science,Industrial Hygiene,34,10,,Yes,5,http://www.uic.edu/sph/eohs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Epidemiology,Cancer Epidemiology,23,11,,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Epidemiology,Epidemiology,11,23,28,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Health Policy and Administration,Clinical Research,4,,,Yes,5,http://www.uic.edu/sph/hpa.htm,http://cores33webs.mede.uic.edu/crtp/home.htm,,,,,,
University of Illinois Chicago School of Public Health,Masters,,54,MS,Health Policy and Administration,Health Policy and Administration,16,27,,Yes,5,http://www.uic.edu/sph/hpa.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Biostatistics,Biostatistics,3,,,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Community Health Sciences,Behavioral Sciences and Health Promotion,18,20,7,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Community Health Sciences,Community Health Sciences,18,20,28,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Community Health Sciences,Gerontology,1,7,,Yes,5,http://www.uic.edu/sph/chs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Community Health Sciences,Maternal and Child Health,28,7,11,Yes,5,http://www.uic.edu/sph/chs.htm,http://www.uic.edu/sph/mch/,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Community Health Sciences,Maternal and Child Health Epidemiology,28,11,7,Yes,5,http://www.uic.edu/sph/chs.htm,http://www.uic.edu/sph/mch/,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Environmental and Occupational Health Science,Environmental and Occupational Health Science,34,10,,Yes,5,http://www.uic.edu/sph/eohs.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Epidemiology,Cancer Epidemiology,23,11,,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Epidemiology,Epidemiology,11,23,28,Yes,5,http://www.uic.edu/sph/eb.htm,,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Epidemiology,Maternal and Child Health,28,11,7,Yes,5,http://www.uic.edu/sph/eb.htm,http://www.uic.edu/sph/mch/,,,,,,
University of Illinois Chicago School of Public Health,Doctoral,,68,PhD,Health Policy and Administration,Health Policy and Administration,16,27,,Yes,5,http://www.uic.edu/sph/hpa.htm,,,,,,,
University of Iowa College of Public Health,,,3,Certificate,Agricultural Safety and Health,,34,,,No,4,http://www.public-health.uiowa.edu/oeh/prosp_students/programs/,,,,,,,
University of Iowa College of Public Health,,,3,Certificate,Emerging Infectious Disease Epidemiology,,23,,,No,4,http://www.public-health.uiowa.edu/ceid/Training/Certificate/Certificate_program.html,,,,,,,
University of Iowa College of Public Health,,,3,Certificate,Public Health,,8,,,No,5,http://www.public-health.uiowa.edu/academics/degrees_certs/certificate_ph/,,,,,,,
University of Iowa College of Public Health,,,3,Certificate,Public Health,,8,,,No,7,http://www.public-health.uiowa.edu/academics/degrees_certs/certificate_ph/,,,,,,,
University of Iowa College of Public Health,,,3,Certificate,Public Health,,8,,,No,4,http://www.public-health.uiowa.edu/academics/degrees_certs/certificate_ph/,,,,,,,
University of Iowa College of Public Health,Masters,,11,MHA,Health Management and Policy,,27,,,No,5,http://www.public-health.uiowa.edu/hmp/programs/mha/,,,,,,,
University of Iowa College of Public Health,Masters,yes,12,MHA/JD,Combined Degree Program in Health Administration and Law,,19,,,No,5,http://www.public-health.uiowa.edu/hmp/programs/mha/,,,,,,,
University of Iowa College of Public Health,Masters,yes,13,MHA/MBA,Combined Degree Program in Health Administration and Business,,16,,,No,5,http://www.public-health.uiowa.edu/hmp/programs/mha/,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Biostatistics,,3,,,No,5,http://www.public-health.uiowa.edu/mph/about/subtracks/bio.html ,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Biostatistics,,3,,,No,7,http://www.public-health.uiowa.edu/mph/about/subtracks/bio.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,,6,7,18,No,5,http://www.public-health.uiowa.edu/mph/about/subtracks/cbh.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,Health Communication,20,6,7,No,5,http://www.public-health.uiowa.edu/mph/about/subtracks/comm.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,"Maternal, Child, and Family Health",28,37,46,No,5,http://www.public-health.uiowa.edu/mph/about/focus_areas/maternal.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,Nutrition and Exercise,33,12,7,No,5,http://www.public-health.uiowa.edu/mph/about/focus_areas/nutrition.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,,6,7,18,No,7,http://www.public-health.uiowa.edu/mph/about/subtracks/cbh.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,Health Communication,20,6,7,No,7,http://www.public-health.uiowa.edu/mph/about/subtracks/comm.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,"Maternal, Child, and Family Health",28,37,46,No,7,http://www.public-health.uiowa.edu/mph/about/focus_areas/maternal.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,Nutrition and Exercise,33,12,7,No,7,http://www.public-health.uiowa.edu/mph/about/focus_areas/nutrition.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,,6,7,18,No,4,http://www.public-health.uiowa.edu/mph/about/subtracks/cbh.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,Health Communication,20,6,7,No,4,http://www.public-health.uiowa.edu/mph/about/subtracks/comm.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,"Maternal, Child, and Family Health",28,37,46,No,4,http://www.public-health.uiowa.edu/mph/about/focus_areas/maternal.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Community and Behavioral Health,Nutrition and Exercise,33,12,7,No,4,http://www.public-health.uiowa.edu/mph/about/focus_areas/nutrition.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Epidemiology,,11,23,4,No,5,http://www.public-health.uiowa.edu/mph/about/subtracks/epi.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Epidemiology,"Maternal, Child, and Family Health",28,11,37,No,5,http://www.public-health.uiowa.edu/mph/about/focus_areas/maternal.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Epidemiology,Nutrition and Exercise,33,11,,No,5,http://www.public-health.uiowa.edu/mph/about/focus_areas/nutrition.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Epidemiology,,11,23,4,No,4,http://www.public-health.uiowa.edu/mph/about/subtracks/epi.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Epidemiology,"Maternal, Child, and Family Health",28,11,37,No,4,http://www.public-health.uiowa.edu/mph/about/focus_areas/maternal.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Epidemiology,Nutrition and Exercise,33,11,,No,4,http://www.public-health.uiowa.edu/mph/about/focus_areas/nutrition.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Health Management and Policy,Aging Studies,1,21,,No,5,http://www.public-health.uiowa.edu/mph/about/focus_areas/aging.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Health Management and Policy,Policy,16,21,,No,5,http://www.public-health.uiowa.edu/mph/about/subtracks/hpa.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Health Management and Policy,Aging Studies,1,21,,No,7,http://www.public-health.uiowa.edu/mph/about/focus_areas/aging.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Health Management and Policy,Aging Studies,1,21,,No,4,http://www.public-health.uiowa.edu/mph/about/focus_areas/aging.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Health Management and Policy,Policy,16,21,,No,4,http://www.public-health.uiowa.edu/mph/about/subtracks/hpa.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Master of Public Health for Practicing Veterinarians,,13,,,No,4,http://www.public-health.uiowa.edu/mph/about/professional_programs/mph_vets.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Occupational and Enviornmental Health,Ergonomics,34,,,No,5,http://www.public-health.uiowa.edu/mph/about/subtracks/ergo.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Occupational and Enviornmental Health,Global Health,25,,,No,5,http://www.public-health.uiowa.edu/mph/about/focus_areas/global_health.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Occupational and Enviornmental Health,Occupational and Enviornmental Health,34,,44,No,5,http://www.public-health.uiowa.edu/mph/about/subtracks/oeh.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Occupational and Enviornmental Health,Ergonomics,34,,,No,7,http://www.public-health.uiowa.edu/mph/about/subtracks/ergo.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Occupational and Enviornmental Health,Global Health,25,,,No,7,http://www.public-health.uiowa.edu/mph/about/focus_areas/global_health.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Occupational and Enviornmental Health,Occupational and Enviornmental Health,34,,44,No,7,http://www.public-health.uiowa.edu/mph/about/subtracks/oeh.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Occupational and Enviornmental Health,Ergonomics,34,,,No,4,http://www.public-health.uiowa.edu/mph/about/subtracks/ergo.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Occupational and Enviornmental Health,Global Health,25,,,No,4,http://www.public-health.uiowa.edu/mph/about/focus_areas/global_health.html,,,,,,,
University of Iowa College of Public Health,Masters,,20,MPH,Occupational and Enviornmental Health,Occupational and Enviornmental Health,34,,44,No,4,http://www.public-health.uiowa.edu/mph/about/subtracks/oeh.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,25,MPH/DVM,Combined Degree Program in Public Health and Veterinary Medicine,,13,23,,No,5,http://www.public-health.uiowa.edu/mph/about/combined_degrees/dvm_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,25,MPH/DVM,Combined Degree Program in Public Health and Veterinary Medicine,,13,23,,No,7,http://www.public-health.uiowa.edu/mph/about/combined_degrees/dvm_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,25,MPH/DVM,Combined Degree Program in Public Health and Veterinary Medicine,,13,23,,No,4,http://www.public-health.uiowa.edu/mph/about/combined_degrees/dvm_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,26,MPH/JD,Combined Degree Program in Public Health and Law,,19,,,No,5,http://www.public-health.uiowa.edu/mph/about/combined_degrees/jd_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,26,MPH/JD,Combined Degree Program in Public Health and Law,,19,,,No,7,http://www.public-health.uiowa.edu/mph/about/combined_degrees/jd_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,26,MPH/JD,Combined Degree Program in Public Health and Law,,19,,,No,4,http://www.public-health.uiowa.edu/mph/about/combined_degrees/jd_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,32,MPH/MD,Combined Degree Program in Public Health and Medicine,,14,,,No,5,http://www.public-health.uiowa.edu/mph/about/combined_degrees/md_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,32,MPH/MD,Combined Degree Program in Public Health and Medicine,,14,,,No,7,http://www.public-health.uiowa.edu/mph/about/combined_degrees/md_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,32,MPH/MD,Combined Degree Program in Public Health and Medicine,,14,,,No,4,http://www.public-health.uiowa.edu/mph/about/combined_degrees/md_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,44,MPH/MSN,Combined Degree Program in Public Health and Nursing,,14,,,No,5,http://www.public-health.uiowa.edu/mph/about/combined_degrees/msn_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,,44,MPH/MSN,Combined Degree Program in Public Health and Nursing,,14,,,No,7,http://www.public-health.uiowa.edu/mph/about/combined_degrees/msn_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,44,MPH/MSN,Combined Degree Program in Public Health and Nursing,,14,,,No,4,http://www.public-health.uiowa.edu/mph/about/combined_degrees/msn_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,48,MPH/PharmD,Combined Degree Program in Public Health and Pharmacy,,14,,,No,5,http://www.public-health.uiowa.edu/mph/about/combined_degrees/pharmd_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,48,MPH/PharmD,Combined Degree Program in Public Health and Pharmacy,,14,,,No,7,http://www.public-health.uiowa.edu/mph/about/combined_degrees/pharmd_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,yes,48,MPH/PharmD,Combined Degree Program in Public Health and Pharmacy,,14,,,No,4,http://www.public-health.uiowa.edu/mph/about/combined_degrees/pharmd_mph.html,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Biostatistics,,3,,,No,5,http://www.public-health.uiowa.edu/biostat/,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Community and Behavioral Health,,7,18,6,No,5,http://www.public-health.uiowa.edu/cbh/prospectivestudents/index.html,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Community and Behavioral Health,Health Communication,20,18,6,No,5,http://www.public-health.uiowa.edu/cbh/prospectivestudents/index.html,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Community and Behavioral Health,,7,18,6,No,7,http://www.public-health.uiowa.edu/cbh/prospectivestudents/index.html,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Community and Behavioral Health,Health Communication,20,18,6,No,7,http://www.public-health.uiowa.edu/cbh/prospectivestudents/index.html,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Epidemiology,,11,23,4,No,5,http://www.public-health.uiowa.edu/epi/prosp_students/ms_prog_desc.html,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Epidemiology,,11,23,4,No,5,http://www.public-health.uiowa.edu/epi/prosp_students/ms_prog_desc.html,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Epidemiology,,11,23,4,No,4,http://www.public-health.uiowa.edu/epi/prosp_students/ms_prog_desc.html,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Epidemiology,,11,23,4,No,4,http://www.public-health.uiowa.edu/epi/prosp_students/ms_prog_desc.html,,,,,,,
University of Iowa College of Public Health,Masters,,54,MS,Occupational and Enviornmental Health,,34,,44,No,5,http://www.public-health.uiowa.edu/oeh/prosp_students/programs/,,,,,,,
