ProgramName	Tag1	Tag2	Tag3	SophasYesNo	DescriptionLink	Description	SchoolName	TermID	DegreeType	DegreeID	ValidatedDegreeName	DepartmentLink	DualCombined	Concentration	AppInformation	AppRequirement		
Epidemiology	11	25	23	Yes	http://depts.washington.edu/epidem/program/		University of Washington School of Public Health and Community Medicine	Fall 2009	Masters	29	MPH/MAIS	http://depts.washington.edu/epidem/adm/	yes	Epidemiology/International Studies 	http://www.sophas.org/schools/UniversityofWashington.cfm	http://www.sophas.org/documents/Washington.pdf		
Health Policy & Management	16	17	27	Yes			Boston University School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://sph.bu.edu/index.php?option=com_content&task=view&id=467&Itemid=50569	yes	Health Care Management	http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
International Health	25	17	27	Yes			Boston University School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://sph.bu.edu/index.php?option=com_content&task=view&id=679&Itemid=616937	yes	Global Health Management	http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
Epidemiology (EPI)	11	16	0	Yes		"Epidemiology is a challenging career choice, especially for individuals with a strong interest in biology and with analytic skills. There is a need for epidemiologists now and in the next millennium who understand the potential of predicting disease occurrence. Our curriculum is grounded in the methodologies of epidemiology and biostatistics that enable graduates to contribute new thinking in the field. We are interested in educating the epidemiologists of the future who will foster this science into its next level.

Emory has some unique features which may be attractive to you. Our close collaboration with the Centers for Disease Control and Prevention, which is located adjacent to our campus, in addition to our close collaborations with the State Health Department, Emory Medical School and The American Cancer Society, offers research projects for our students as well as career opportunities. 

Our curriculum is highly quantitative and therefore we recruit students with excellent analytical skills and a strong science background."	Emory University Rollins School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://www.sph.emory.edu/dualdegree_mbamph.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Global Health (GH)	25	16	0	Yes		"The Hubert Department of Global Health seeks to understand and reduce global inequities in health and well-being. Inquiry-driven and ethically engaged, we seek to improve health status and delivery systems around the world through teaching, multidisciplinary research, program design and evaluation, service, and inspiring public-private and civic sector engagement in social action. Our Scholarship, our Global Field Experience internships and our Atlanta-based (e.g., CDC, CARE, the Carter Center) and global partnerships provide unparalleled opportunities to increase the capacity of students, fellows, researchers, policy makers and program managers to take on increasing responsibility for global health leadership. Our ultimate goal is to strengthen the capacities of families, communities, societies and governments to identify and reduce barriers to health and wellness."	Emory University Rollins School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://www.sph.emory.edu/dualdegree_mbamph.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Health Policy &  Management (HPM)	27	16	0	Yes		"The Emory Department of Health Policy and Management offer three masters degree programs: the MSPH in Health Policy Research; the MPH in Health Policy; and, the MPH in Health Services Management. The MPH degrees are also offered in a joint degree format with the Law School, the Business School, the Medical School, the School of Nursing, the Physicians Assistant Program and the Physical Therapy Program.

The focus of the MSPH in health policy research is the objective analysis and evaluation of health proposals, programs and services with an emphasis on quantitative analysis using large databases with skills in statistical analysis.

The focus of the MPH in health policy is on the development of a sophisticated understanding of the delivery of health services in the US from both the clinical and population-based perspective.

The focus of the MPH health administration program is on the management of the delivery of health services with a generalist management and leadership perspective including coursework in health law, health economics, healthcare finance, operations management, strategic management, human resources and marketing.

Elective coursework opportunities include aging, health services research, mental health and hygiene, minority health and health disparities, women?s health, health literacy, long-term care, health insurance and health care reform.

Graduates have developed productive careers in academic health centers, public health practice; management consulting, hospital administration, long-term care, advocacy organizations, health plans, state and federal  legislative offices, health policy organizations, and federal programs at CDC, CBO and OIG."	Emory University Rollins School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://www.sph.emory.edu/dualdegree_mbamph.php	Yes	Health Policy	http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Global Environmental Health (GEH)	10	25	16	Yes		"The Department of Environmental and Occupational Health focuses on the way the environment affects human health.  Departmental research includes effects of pesticides on neurologic diseases and biomarkersÿ of exposure, air pollution and its link with cardiopulmonary disease and birth defectsÿ, water pollution, large-scale epidemiology and occupational exposures relating to heavy metals, solvents, and persistent organic pollutantsÿ, urban sprawl, global climate changeÿ, and disease ecology. We use a wide variety of methods including epidemiology, toxicology, and risk assessment. Our collaboration partners reach across the globe.

Our department offers an MPH in Environmental and Occupational Health, MPH in Global Environmental Health, and a joint MSPH program in Environmental and Occupational Health/ Epidemiology.  A PhD program in Environmental Health Sciences is planned for 2009."	Emory University Rollins School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://www.sph.emory.edu/dualdegree_mbamph.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Global Epidemiology (GLEPI)	11	25	16	Yes		"Epidemiology is a challenging career choice, especially for individuals with a strong interest in biology and with analytic skills. There is a need for epidemiologists now and in the next millennium who understand the potential of predicting disease occurrence. Our curriculum is grounded in the methodologies of epidemiology and biostatistics that enable graduates to contribute new thinking in the field. We are interested in educating the epidemiologists of the future who will foster this science into its next level.

Emory has some unique features which may be attractive to you. Our close collaboration with the Centers for Disease Control and Prevention, which is located adjacent to our campus, in addition to our close collaborations with the State Health Department, Emory Medical School and The American Cancer Society, offers research projects for our students as well as career opportunities. 

Our curriculum is highly quantitative and therefore we recruit students with excellent analytical skills and a strong science background."	Emory University Rollins School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://www.sph.emory.edu/dualdegree_mbamph.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Environmental & Occupational Health (EOH)	10	34	16	Yes		"The Department of Environmental and Occupational Health focuses on the way the environment affects human health.  Departmental research includes effects of pesticides on neurologic diseases and biomarkersÿ of exposure, air pollution and its link with cardiopulmonary disease and birth defectsÿ, water pollution, large-scale epidemiology and occupational exposures relating to heavy metals, solvents, and persistent organic pollutantsÿ, urban sprawl, global climate changeÿ, and disease ecology. We use a wide variety of methods including epidemiology, toxicology, and risk assessment. Our collaboration partners reach across the globe.

Our department offers an MPH in Environmental and Occupational Health, MPH in Global Environmental Health, and a joint MSPH program in Environmental and Occupational Health/ Epidemiology.  A PhD program in Environmental Health Sciences is planned for 2009."	Emory University Rollins School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://www.sph.emory.edu/dualdegree_mbamph.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Health Services	27	0	0	Yes	http:// www.ph.ucla.edu		UCLA School of Public Health	Fall 2009	Masters	30	MPH/MBA		yes	Anderson School of Management	http://www.sophas.org/schools/UCLA.cfm	http://www.sophas.org/documents/UCLA.pdf		
Health Care Organization & Policy	16	0	0	No			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	30	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=257&cid=52&sid=142	yes	Public Health/Business Administration	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Care Organization & Policy	16	0	0	No			University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	30	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=257&cid=52&sid=142	yes	Public Health/Business Administration	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Policy and Management	27	17	26	No			University of California - Berkeley School of Public Health	Fall 2009	Masters	30	MBA/MPH	http://hpm.berkeley.edu	yes		http://www.sophas.org/schools/UCBerkeley.cfm	http://www.sophas.org/documents/UCBerkeley.pdf		
Biostatistics	3	0	0	Yes			University of Illinois Chicago School of Public Health	Fall 2009	Masters	30	MBA/MPH	http://www.uic.edu/sph/eb.htm	yes		http://www.sophas.org/schools/IllinoisatChicago.cfm	http://www.sophas.org/documents/UIC.pdf		
Health Policy and Administration	16	27	0	Yes			University of Illinois Chicago School of Public Health	Fall 2009	Masters	30	MBA/MPH	http://www.uic.edu/sph/hpa.htm	yes		http://www.sophas.org/schools/IllinoisatChicago.cfm	http://www.sophas.org/documents/UIC.pdf		
Community Health Sciences	18	20	28	Yes			University of Illinois Chicago School of Public Health	Fall 2009	Masters	30	MBA/MPH	http://www.uic.edu/sph/chs.htm	yes		http://www.sophas.org/schools/IllinoisatChicago.cfm	http://www.sophas.org/documents/UIC.pdf		
Epidemiology	11	23	28	Yes			University of Illinois Chicago School of Public Health	Fall 2009	Masters	30	MBA/MPH	http://www.uic.edu/sph/eb.htm	yes		http://www.sophas.org/schools/IllinoisatChicago.cfm	http://www.sophas.org/documents/UIC.pdf		
Environmental and Occupational Health Science	10	34	44	Yes			University of Illinois Chicago School of Public Health	Fall 2009	Masters	30	MBA/MPH	http://www.uic.edu/sph/eohs.htm	yes		http://www.sophas.org/schools/IllinoisatChicago.cfm	http://www.sophas.org/documents/UIC.pdf		
Health Services Administration	16	17	26	No	http://depts.washington.edu/mhap/concurrent		University of Washington School of Public Health and Community Medicine	Fall 2009	Masters	30	MHA/MBA	http://depts.washington.edu/mhap/concurrent	yes	Health Services Administration/Business Administration	http://www.sophas.org/schools/UniversityofWashington.cfm	http://www.sophas.org/documents/Washington.pdf		
Joint Management Program	25	27	17	Yes	http://mba.yale.edu/index.shtml		Yale School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://publichealth.yale.edu/	yes	Global Health	http://www.sophas.org/schools/Yale.cfm	http://www.sophas.org/documents/yale.pdf		
Joint Management Program	27	17	26	Yes	http://mba.yale.edu/index.shtml		Yale School of Public Health	Fall 2009	Masters	30	MPH/MBA	http://publichealth.yale.edu/	yes		http://www.sophas.org/schools/Yale.cfm	http://www.sophas.org/documents/yale.pdf		
Health and Social Behavior	18	7	10	Yes			University of California - Berkeley School of Public Health	Fall 2009	Masters	31	MCP/MPH	http://chhd.berkeley.edu	yes		http://www.sophas.org/schools/UCBerkeley.cfm	http://www.sophas.org/documents/UCBerkeley.pdf		
Public Health Nutrition	33	7	10	Yes			University of California - Berkeley School of Public Health	Fall 2009	Masters	31	MCP/MPH	http://chhd.berkeley.edu	yes		http://www.sophas.org/schools/UCBerkeley.cfm	http://www.sophas.org/documents/UCBerkeley.pdf		
Epidemiology/Biostatistics	3	11	10	Yes			University of California - Berkeley School of Public Health	Fall 2009	Masters	31	MCP/MPH	http://epi.berkeley.edu	yes		http://www.sophas.org/schools/UCBerkeley.cfm	http://www.sophas.org/documents/UCBerkeley.pdf		
Health Policy and Management	27	17	10	Yes			University of California - Berkeley School of Public Health	Fall 2009	Masters	31	MCP/MPH	http://hpm.berkeley.edu	yes		http://www.sophas.org/schools/UCBerkeley.cfm	http://www.sophas.org/documents/UCBerkeley.pdf		
Biostatistics	3	0	0	Yes			Boston University School of Public Health	Fall 2009	Masters	32	MPH/MD	http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570	yes		http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
Environmental Health	10	0	0	Yes			Boston University School of Public Health	Fall 2009	Masters	32	MPH/MD	http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570	yes		http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
Epidemiology	11	0	0	Yes			Boston University School of Public Health	Fall 2009	Masters	32	MPH/MD	http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570	yes		http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
"Health Law, Bioethics & Human Rights"	19	0	0	Yes			Boston University School of Public Health	Fall 2009	Masters	32	MPH/MD	http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570	yes		http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
Social & Behavioral Sciences	18	30	20	Yes			Boston University School of Public Health	Fall 2009	Masters	32	MPH/MD	http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570	yes		http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
Health Policy & Management	16	17	27	Yes			Boston University School of Public Health	Fall 2009	Masters	32	MPH/MD	http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570	yes		http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
International Health	25	17	27	Yes			Boston University School of Public Health	Fall 2009	Masters	32	MPH/MD	http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570	yes		http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
Maternal & Child Health	28	46	37	Yes			Boston University School of Public Health	Fall 2009	Masters	32	MPH/MD	http://sph.bu.edu/index.php?option=com_content&task=view&id=468&Itemid=50570	yes		http://www.sophas.org/schools/BostonUniversity.cfm	http://www.sophas.org/documents/SOPHAS_Intl.pdf		
	14	0	0	No		Please contact the RSPH Office of Admissions directly.	Emory University Rollins School of Public Health	Fall 2009	Masters	32	MD/MPH (Emory Only) 	http://www.sph.emory.edu/dualdegree_mdmph/dualdegree_mdmph.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Global Health (GH)	25	0	0	Yes		"The Hubert Department of Global Health seeks to understand and reduce global inequities in health and well-being. Inquiry-driven and ethically engaged, we seek to improve health status and delivery systems around the world through teaching, multidisciplinary research, program design and evaluation, service, and inspiring public-private and civic sector engagement in social action. Our Scholarship, our Global Field Experience internships and our Atlanta-based (e.g., CDC, CARE, the Carter Center) and global partnerships provide unparalleled opportunities to increase the capacity of students, fellows, researchers, policy makers and program managers to take on increasing responsibility for global health leadership. Our ultimate goal is to strengthen the capacities of families, communities, societies and governments to identify and reduce barriers to health and wellness."	Emory University Rollins School of Public Health	Fall 2009	Masters	32	MPH/MD	http://www.sph.emory.edu/dualdegree_mdmph/dualdegree_mdmph_nonemory.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Health Policy &  Management (HPM)	27	16	0	Yes		"The Emory Department of Health Policy and Management offer three masters degree programs: the MSPH in Health Policy Research; the MPH in Health Policy; and, the MPH in Health Services Management. The MPH degrees are also offered in a joint degree format with the Law School, the Business School, the Medical School, the School of Nursing, the Physicians Assistant Program and the Physical Therapy Program.

The focus of the MSPH in health policy research is the objective analysis and evaluation of health proposals, programs and services with an emphasis on quantitative analysis using large databases with skills in statistical analysis.

The focus of the MPH in health policy is on the development of a sophisticated understanding of the delivery of health services in the US from both the clinical and population-based perspective.

The focus of the MPH health administration program is on the management of the delivery of health services with a generalist management and leadership perspective including coursework in health law, health economics, healthcare finance, operations management, strategic management, human resources and marketing.

Elective coursework opportunities include aging, health services research, mental health and hygiene, minority health and health disparities, women?s health, health literacy, long-term care, health insurance and health care reform.

Graduates have developed productive careers in academic health centers, public health practice; management consulting, hospital administration, long-term care, advocacy organizations, health plans, state and federal  legislative offices, health policy organizations, and federal programs at CDC, CBO and OIG."	Emory University Rollins School of Public Health	Fall 2009	Masters	32	MPH/MD	http://www.sph.emory.edu/dualdegree_mdmph/dualdegree_mdmph_nonemory.php	Yes	Health Policy	http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Health Policy &  Management (HPM)	27	16	0	Yes		"The Emory Department of Health Policy and Management offer three masters degree programs: the MSPH in Health Policy Research; the MPH in Health Policy; and, the MPH in Health Services Management. The MPH degrees are also offered in a joint degree format with the Law School, the Business School, the Medical School, the School of Nursing, the Physicians Assistant Program and the Physical Therapy Program.

The focus of the MSPH in health policy research is the objective analysis and evaluation of health proposals, programs and services with an emphasis on quantitative analysis using large databases with skills in statistical analysis.

The focus of the MPH in health policy is on the development of a sophisticated understanding of the delivery of health services in the US from both the clinical and population-based perspective.

The focus of the MPH health administration program is on the management of the delivery of health services with a generalist management and leadership perspective including coursework in health law, health economics, healthcare finance, operations management, strategic management, human resources and marketing.

Elective coursework opportunities include aging, health services research, mental health and hygiene, minority health and health disparities, women?s health, health literacy, long-term care, health insurance and health care reform.

Graduates have developed productive careers in academic health centers, public health practice; management consulting, hospital administration, long-term care, advocacy organizations, health plans, state and federal  legislative offices, health policy organizations, and federal programs at CDC, CBO and OIG."	Emory University Rollins School of Public Health	Fall 2009	Masters	32	MPH/MD	http://www.sph.emory.edu/dualdegree_mdmph/dualdegree_mdmph_nonemory.php	Yes	Health Services Management	http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Behavioral Sciences & Health Education (BSHE)	18	20	0	Yes		"The Department of Behavioral Sciences and Health Education (BSHE) is committed to improving health behaviors through education, knowledge production, and cutting-edge research in a wide array of public health areas.  BSHE faculty and students employ a variety of disciplinary approaches to implement and evaluate behavioral interventions that address a wide range of public health problems including sexually transmitted diseases, cancer, mental health, smoking, substance abuse, and violence.  BSHE improves health communication by translating research into practice.

BSHE is committed to an interdisciplinary approach to problem solving in domestic and global arenas.  Its faculty has a strong track record of obtaining substantial funding from public and private sources, providing student opportunities in research, and employment with a wide variety of agencies and organizations engaged in public health practice and policy.  Our mission is to prepare students to confront today's public health concerns and to respond to tomorrow's public health challenges."	Emory University Rollins School of Public Health	Fall 2009	Masters	32	MPH/MD	http://www.sph.emory.edu/dualdegree_mdmph/dualdegree_mdmph_nonemory.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Epidemiology (EPI)	11	23	0	Yes		"Epidemiology is a challenging career choice, especially for individuals with a strong interest in biology and with analytic skills. There is a need for epidemiologists now and in the next millennium who understand the potential of predicting disease occurrence. Our curriculum is grounded in the methodologies of epidemiology and biostatistics that enable graduates to contribute new thinking in the field. We are interested in educating the epidemiologists of the future who will foster this science into its next level.

Emory has some unique features which may be attractive to you. Our close collaboration with the Centers for Disease Control and Prevention, which is located adjacent to our campus, in addition to our close collaborations with the State Health Department, Emory Medical School and The American Cancer Society, offers research projects for our students as well as career opportunities. 

Our curriculum is highly quantitative and therefore we recruit students with excellent analytical skills and a strong science background."	Emory University Rollins School of Public Health	Fall 2009	Masters	32	MPH/MD	http://www.sph.emory.edu/dualdegree_mdmph/dualdegree_mdmph_nonemory.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Global Environmental Health (GEH)	10	25	0	Yes		"The Department of Environmental and Occupational Health focuses on the way the environment affects human health.  Departmental research includes effects of pesticides on neurologic diseases and biomarkersÿ of exposure, air pollution and its link with cardiopulmonary disease and birth defectsÿ, water pollution, large-scale epidemiology and occupational exposures relating to heavy metals, solvents, and persistent organic pollutantsÿ, urban sprawl, global climate changeÿ, and disease ecology. We use a wide variety of methods including epidemiology, toxicology, and risk assessment. Our collaboration partners reach across the globe.

Our department offers an MPH in Environmental and Occupational Health, MPH in Global Environmental Health, and a joint MSPH program in Environmental and Occupational Health/ Epidemiology.  A PhD program in Environmental Health Sciences is planned for 2009."	Emory University Rollins School of Public Health	Fall 2009	Masters	32	MPH/MD	http://www.sph.emory.edu/dualdegree_mdmph/dualdegree_mdmph_nonemory.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Global Epidemiology (GLEPI)	11	25	0	Yes		"Epidemiology is a challenging career choice, especially for individuals with a strong interest in biology and with analytic skills. There is a need for epidemiologists now and in the next millennium who understand the potential of predicting disease occurrence. Our curriculum is grounded in the methodologies of epidemiology and biostatistics that enable graduates to contribute new thinking in the field. We are interested in educating the epidemiologists of the future who will foster this science into its next level.

Emory has some unique features which may be attractive to you. Our close collaboration with the Centers for Disease Control and Prevention, which is located adjacent to our campus, in addition to our close collaborations with the State Health Department, Emory Medical School and The American Cancer Society, offers research projects for our students as well as career opportunities. 

Our curriculum is highly quantitative and therefore we recruit students with excellent analytical skills and a strong science background."	Emory University Rollins School of Public Health	Fall 2009	Masters	32	MPH/MD	http://www.sph.emory.edu/dualdegree_mdmph/dualdegree_mdmph_nonemory.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Environmental & Occupational Health (EOH)	10	34	0	Yes		"The Department of Environmental and Occupational Health focuses on the way the environment affects human health.  Departmental research includes effects of pesticides on neurologic diseases and biomarkersÿ of exposure, air pollution and its link with cardiopulmonary disease and birth defectsÿ, water pollution, large-scale epidemiology and occupational exposures relating to heavy metals, solvents, and persistent organic pollutantsÿ, urban sprawl, global climate changeÿ, and disease ecology. We use a wide variety of methods including epidemiology, toxicology, and risk assessment. Our collaboration partners reach across the globe.

Our department offers an MPH in Environmental and Occupational Health, MPH in Global Environmental Health, and a joint MSPH program in Environmental and Occupational Health/ Epidemiology.  A PhD program in Environmental Health Sciences is planned for 2009."	Emory University Rollins School of Public Health	Fall 2009	Masters	32	MPH/MD	http://www.sph.emory.edu/dualdegree_mdmph/dualdegree_mdmph_nonemory.php	Yes		http://www.sophas.org/schools/emory.cfm	http://www.sophas.org/documents/Emory.pdf		
Biostatistics	3	0	0	Yes			George Washington University School of Public Health and Health Services	Fall 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Biostatistics	3	0	0	Yes			George Washington University School of Public Health and Health Services	Spring 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Biostatistics	3	0	0	Yes			George Washington University School of Public Health and Health Services	Summer 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology and Biostatistics	11	0	0	Yes			George Washington University School of Public Health and Health Services	Fall 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology and Biostatistics	11	3	0	Yes			George Washington University School of Public Health and Health Services	Spring 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology and Biostatistics	11	3	0	Yes			George Washington University School of Public Health and Health Services	Summer 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Communication and Marketing	20	18	7	Yes			George Washington University School of Public Health and Health Services	Fall 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Communication and Marketing	20	18	7	Yes			George Washington University School of Public Health and Health Services	Spring 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Public Health Communication and Marketing	20	18	7	Yes			George Washington University School of Public Health and Health Services	Summer 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Promotion	18	7	20	Yes			George Washington University School of Public Health and Health Services	Fall 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Promotion	18	7	20	Yes			George Washington University School of Public Health and Health Services	Spring 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Promotion	18	7	20	Yes			George Washington University School of Public Health and Health Services	Summer 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Policy	19	30	27	Yes			George Washington University School of Public Health and Health Services	Fall 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Policy	19	30	27	Yes			George Washington University School of Public Health and Health Services	Spring 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Health Policy	19	30	27	Yes			George Washington University School of Public Health and Health Services	Summer 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Maternal and Child Health	28	18	37	Yes			George Washington University School of Public Health and Health Services	Fall 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Maternal and Child Health	28	18	37	Yes			George Washington University School of Public Health and Health Services	Spring 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Maternal and Child Health	28	18	37	Yes			George Washington University School of Public Health and Health Services	Summer 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology	11	0	38	Yes			George Washington University School of Public Health and Health Services	Fall 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology	11	0	38	Yes			George Washington University School of Public Health and Health Services	Spring 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Epidemiology	11	0	38	Yes			George Washington University School of Public Health and Health Services	Summer 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Community Oriented Primary Care	6	18	40	Yes			George Washington University School of Public Health and Health Services	Fall 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Community Oriented Primary Care	6	18	40	Yes			George Washington University School of Public Health and Health Services	Spring 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Community Oriented Primary Care	6	18	40	Yes			George Washington University School of Public Health and Health Services	Summer 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Global Health	25	31	40	Yes			George Washington University School of Public Health and Health Services	Fall 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
Global Health	25	31	40	Yes			George Washington University School of Public Health and Health Services	Spring 2009	Masters	32	MD/MPH	http://www.gwumc.edu/sphhs/departments/	yes		http://www.sophas.org/schools/GeorgeWashington.cfm	http://www.sophas.org/documents/GW.pdf		
